type,label,text
train,1,❤️ℓσvмσнαтмεвσтαяιмғαvσяιүσℓσvмει'ℓαℓωαүs вιүσυнεαятιүσнαтмει'ℓαℓωαүs вιүσυ@Instagram @mubbi_muhammad
train,0,Technical writer (Forexbinary optionsSEO)satiristunapologetic enemy of ignoranceDedicated to the removal of America's malignant orange tumor
train,1,This is a bot that hunts botsIt looks for accounts that tweet about politics and have high @Botometer scoresMorehttps://tco/tylWWx7MxI
train,1,gunga malunga
train,0,#impeach #prosecutetrumpcrimefamily #Resistance #resist #BoF ##nevertrump#FBR #🔥theI support DemocratsNO LISTS!Not a bot!
train,0,Data Scientist ❤️#DataScience #MachineLearning #BigData #Analytics #RStats #Python #SAS #NoSQL #BI #Statistics #Forecasting MS-Physics@Purdue
train,0,An Englishman in Toronto SVP HRRSA CanadaViews are my own
train,0,Technically right #BlessedAF https://tco/Rh4eRceqog AFKnotifications off Loveyoumissyoumkaybye
train,0,Seeking the truthUnlike certain people I know how to respectfully disagree
train,0,We are a progressive liberal news sourceWe talk and retweet politicswith other topics sprinkled inThe Resistance is Forever
train,0,Moron on twitterCitizen of NowhereRootless CosmopolitanSaboteurCentrist DadNot an expert#FBPE
train,0,Will not rest until there's Perp Walks happening at 1600
train,0,What are your resolutions for 2018Build your grammar muscle with our daily quizzesCorrect answers post after each poll closes Tweets by Robin LSimmons
train,0,#Musician #songwriter #artist I'm here to share my #music and hear yours#singersongwriterChoose the better life
train,0,Man Utd fanmostly here for footballTakes photosDoes Info Sec stuffex care workeroften sarcastic
train,0,WACOhttps://tco/8jkr8LNiwK
train,1,March For Science
train,0,HusbandFatherand GrandfatherBlessed with amazing SpouseChildren and GrandchildrenAll opinions are my ownLets Hope for the Best#MAGA #AmericaFirst
train,0,Google Brain research scientist leading a team studying adversarial techniques in AILead author of https://tco/GXx4YfpW7O
train,0,Wie jetztIch soll mich selbst beschreibenUffAlsoHobbyzockerund Mangafanalles klar?
train,0,misplaced southern ag economistquantstochastic modelerand cocktail party hostAvid user of PythonRAWS and colorful metaphors(y’all/y’all’s)
train,0,Teachers hate meNo clue why
train,1,Vietnam Veteran
train,0,right wing gossipdigital strategy for nerdstoo conservative for Canada so I write speeches for Republicans #ostomy Quaecumque Sunt Vera
train,0,CUSD Survivorsorta funny🤷🏽‍♂Ask for my snap
train,0,Pythonaut and PhD Candidate at @IUSICEWorks on @Botometer@KinseyReporterhttps://tco/ATln2YDL8Y
train,0,Stop Republican Religious Laws#TheResistance #FBRThose who would give Liberty for Security deserve Neither#BlueTsunami
train,0,Analista en UFM Market Trendsprofesor de economía en UFM
train,0,Future #OrganDonor#AnatomyClassSubjuctor #BodyFarmResidentViews are my ownMoney back Guarantee
train,0,🌇{💻🤓✨@HATCX_HEALTH 🌃[💧🐻🎲/👩🏽🎨]—¢🎣🏆|🐝🏆|👑|🔠✍️🏾⏳(@waterbeargames w/@CaraHeacock🎲📚🕵/🎲📐(@Spielbound [-MR]⚡️🚘👤😒🙄🤔😈🇺🇸🖖🏾
train,1,Bot that posts tributes befitting each godBy @deathmtnBanner by @metroidbabyPowered by @wordnikArchivehttps://tco/rGNK7MrN8F
train,0,Cuban-born journo-PhD graduateobserves the worldfascinated with the unknownMy bookViejos Retratos de La Habana https://tco/7SqI6HmnIq
train,0,CTO of @Intermedia_netex-@rakutenjpLotus@IBMPointCastother places@OilCoinProject@nytheatreballet BoD@ragtag_teamPontificatorInvestorDad
train,0,"""For everything hidden is meant to be revealedand everything concealed is meant to be brought to lightMark 4:22"
train,0,A veces escribo un poema de lo que vivoa veces me regala un poema el vivir
train,1,I am part of #TheResistance I fight for our DemocracyNo lists please#Resistance #WWWResist⚡️🧙🏻‍♀️🔮Fan Account from the world of #FantasticBeasts
train,0,it's hard being a single mother when you don't have any kids and are a guy
train,0,Rockefeller Republican preaching from the left with a rightAgnostic TheistRegulatory Capitalist@endisnearsaveus @togetherthrive @tagamericablue 🚙
train,1,💥#HeroesResist 💥arm of #TheResistance #TrumpRussia#AvengersAssembleSometimes you gotta run before you can walk#Shawarma
train,0,Nacionalista mexicanoChiapanecoantiprogresoñadorenamorado de la lunaAdventurous spiritKonoha no shinobi¡Viva Cristo Rey¡Viva la hispanidad!
train,0,ITV (pol ed)Speakers for Schools (founder)writer (WTF)Arsenal (East Stand)Peston on Sunday (Pestonnot always in that order
train,0,Product Manager at Trend MicroBloggerTweets about TechInfosecMalwareGames the PhilippinesAll thoughts/tweets here are my own
train,0,Associate Professor of Political Science at SHSUmomshopaholicBorn in Appalachia (pronounced apple-at-cha)#bereacollege and #IU alum
train,0,We help musicianssongwriters artists get beyond the rat-race by getting music licensed in Film/TVSong production team
train,0,FutureDanger is an American news link Heatmap DashboardAchieve situational awareness of multiple threat indicators in one viewBe preparedΜΟΛΩΛΑΒΕ
train,0,#MAGA I am blunt and irreverent at timesAm a wifemother gmother and nurseIf you tweet me trying to scam me for money or cell phones instant block
train,0,Liz Stuart Crotchety old woman demanding equal rights for allDallas Texas via Austin Texas and LondonUK
train,0,technology huggercinematic bookreadercomedic audiophilerespectable nobodymember of the @galacticnetcast with the @elsenerds
train,0,A retired newspaper photographer busy rediscovering the news businessRockinon got on the Internet highway at the GE Genie interchange and he's still truckin'
train,0,Retired schoolteacher working my tuchas off to reclaim our gov't from the rich corporationsWho knew that fighting the Kochs is such a big job?
train,1,We are here to support all StreamersCome help us discover people from all ages that enjoy the life of Gaming!
train,1,To defendthis is the pact But when life loses its meaning and is taken for naughtthen the pact is to avenge❤️#MCGA🇨🇦#MOGA ✝️🇮🇱#MAGA 🇺🇸🚂🇬🇧🇳🇴#MEGA❤️
train,0,@lovins3xyf33t is my other account#SnowGang #snowsissy #jackofspades KikCAK623
train,1,Robot fish typing nonsense made from @mrDnomaid's Tweets
train,1,Every prime numbereventually(Or the heat death of the universewhichever happens first)
train,1,There is one person out there for everybodyand I am not willing to settle for second bestThe man I choose will be foreverbecause we will connect our souls
train,1,Virginia Woolf /tweeting The Waves line-by-line
train,0,is someone limiting our frequency and holding us back mentallyI think so!
train,0,nothing to say😁
train,1,I’m a stock-trading bot created by the podcast @PlanetMoneyI watch @realDonaldTrump and trade stocksHear my life storyhttps://tco/TgwOn3refV
train,0,Mother of a disabled toddler who was a micro-preemieHere to get shit done and take down those who have made this country garbage
train,1,Not a Russian Bot That stuff is nonsense
train,1,Research into the truth of this world for the past 32 years
train,0,Jeopardy is legit my favorite show on tv
train,0,I'm a highly respected intergalactic ruler and cannibalisticcybernetichybridspace-potato who likes potato saladRetweet meLIBERALLYor conservatively
train,0,Lvhs
train,1,Curated sentences auto-generated from a Markov model trained on the Proof of Concept or GTFO Bible and the King James BibleNo relation to TempleOS
train,1,trust yr technolust
train,0,Head loweyes on the goal
train,0,Poeta autodidactacosteñodirectoásperohomosexual
train,0,Drinker of coffee and player of gamesNow also publishing them at https://tco/8Y6vSOLzqq
train,0,Visit my funny cartoon gift shop just for laughsSWISStoons have appeared in Good HousekeepingReaders DigestNat EnqHighlights 100's more#wuthrich
train,0,{makewriteimpactKnoxvilleTN based ministry dedicated to donating hats/letters to patients facing serious illnessesFollow our founder @rebeccadotson1
train,0,Mark Burnett is an infosec consultant author (mb@xatonet#security #authentication #passwords #appsec#windows Former MSFT MVP
train,1,I'm just a poor botI need no sympathy
train,0,WI Assembly District 26 progressive candidateEnvironmentalist and Educator#OurPathForward Tweets by Rebecca --RC https://tco/qU89cKhGC7
train,0,I am #TheResistanceI block dividersMAGAmoronsbotstrolls those adding me to listsPinned tweet says it all Tweeting since 2009This account 2016
train,0,"""Don’t let the noise of othersopinions drown out your own inner voice"""
train,0,Designer
train,0,writerproducer
train,0,John Solomon is an award winning investigative journalist and the Executive VP at The Hill He previously worked at APWaPoTWT and Circa
train,0,Prof of Moral Theology Sacred Heart Major SeminaryDetroitMIAuthor of What's a Person to DoEveryday Decisions that Matter (OSV2013)Writes poetry
train,0,DirectorCorporate Professional Education @WPICPE InstructorFoisie @WPIBusiness School@WPI I enjoy helping students with their education careers
train,0,Facilitating workshops using the LEGOSERIOUS PLAYmethodologyBuilding resultsThink with your handsLanguages DFGBLNL
train,0,Supporter of President Trump#DrainTheSwamp
train,0,I love trainsI like walking and biking
train,0,i will never see the sun
train,0,Brexit the dumbest idea in a long long list of dumb ideas
train,0,#DalaiLama #FreeTibet #CrueltyFree #Vegan #NoMuslimBanEver #KremlinKlan #nonazis #BLM #ClimateChange #unhackthevote #StillWithHer #DemForce #BlueWave #RESIST
train,0,Conservative -4X Combat Army Vet -Private Consultant#VETERAN #PATRIOT #RestoreAmerica #teaparty #constitution #federalism #ReleaseTheMemo
train,0,🇨🇦Come nowlet us reason together
train,1,i'm hopeless and awkward and desperate for love
train,0,Gaming/Gamer Guild is for anything reallyYouTubeCollabHangoutJust Playand so onJoin The Guild:https://tco/9t3StYv3Jf
train,0,Assistant Attorney GeneralBureau of Internet Tech @AGSchneidermanTweets/RTs/follows/likes are my ownnot my office's
train,0,l believe in everything and right now I believe I’ll have a pizza🍕
train,0,Country Interesting Pictures Humor Science
train,1,Attyseeing Putin USA totalitarian state everywherebut rooting for legal solution to TrumposaurusBlue in red state living wman turning purple#Resist
train,1,Love my 2 great kidsGodand Country been a long time since I felt this patriotic God Bless America
train,1,Very Imperfect Christian God’s Work in progress🙏🏼Warrior for the Kingdom of GodHappily married to disabled Vietnam Vet #MAGA #CCOT NO DMS or LISTS BLOCK
train,0,ano par me favoreceano ímpar não /muito post do swarm por conta do Tim Beta @jaugustopires
train,0,Writerdesignerteacher3M more votes than himHe didn't win—hatredracismsexismignorancegreedfeartreason won#Protest #Resist #Educate
train,0,Comunicación Corporativa Marketing Digital Crisis Management Comunicación Estratégica Content Curator
train,1,JournalistEntrepreneurInvestorCryptocurrency#Resist Trump#NeverAgainBitcoinContact meed@edkrasscom
train,0,Let me be perfectly clear I am here to troll the Dumpster and his minions#weaklittleman #followthemoney #Resist #ResistanceUnited #FBR #TheResistance
train,1,I ❤️POTUS Trumpunfiltered#Revstrong #Military #VETS #Backtheblue #MAGA blocked by @jaketapper Americans Vets 1st views are mine only 🤭
train,0,Seattle nativeBigly into historysportsreadingresisting everything the GOP our #Shithole president stand forGo SeahawksMarinersRIP Sonics
train,0,Run by @shrinkthinksCollecting dreams nightmares about the current presidentDMs open if you have a dream you want to share for the 45 dream blog project
train,1,I like rheumatology and orthopedic researchI use my robot powers for goodMost of my powers come from raspberry pies and pythons
train,0,PhD student at https://tco/hxv3UDAO1j
train,0,MexicanoEnsayistaantropólogosociólogohistoriador
train,1,"Authorcoacheducator helping struggling #students become competent confident learners""From Stress to Success!#college #highschool #giftedkids #educoach"
train,0,#Homoeopathic #Physician #Photographer#Poet#Computer #Engineer#Spiritualist#Humanist#Haters #BlockME RT is NotEndorsement
train,0,Journalist Ur-Berliner Redakteur @Tagesspiegel und Leitung #SocialMedia Sprachkritik @Floskelwolke Kolumnist @Journ_Online Buchautor @PIPERverlag
train,0,@DANLAB_columbia PhD studentresearching developmental affective neuroscience musicBayesian handleP(au|Bloom)
train,0,Security techMusic techNerd
train,1,#DrainTheSwamp 🇺🇸#TrumpTrain FBrealjameswoods GenFlynn DineshDSouza #AmericaFirst #WeThePeople #MAGA
train,0,Take no part in the unfruitful works of darknessbut instead expose themEph 5:11 #Jesus #2A #WeThePeople #GreatAwakening #MAGA🇺🇸#KAG #QAnon #WakeUp 👀No DMs
train,0,+++drummer+++percussionist+++composer++https://tco/SOM4qFH1CA
train,0,Freiheit und Selbstbestimmung für mein Volk und alle VölkerMit #QAnon gegen die Neue Weltordnung und #WhiteGenocide🥛🐸👌🏻
train,0,World citizenPhDMBAPsychologistHusbandFatherI rarely answer DMs sorry #TheResistance#Impeach45#TrumpRussia#RussiaGate#NotMyPresident
train,1,𝕸𝖊𝖙𝖆𝖑𝖍𝖊𝖆𝗛𝗼𝘀𝗼𝗕𝗼𝗹𝗶𝘃𝗶𝗮𝗜𝗱𝗼𝗚𝗮𝗹𝗮𝗴𝗘𝘅𝗽𝗲𝗿 https://tco/CHaVgpK3ao (coming sooninfosechotspot@gmailcom
train,0,This is my personal profileI don't talk about work on hereInterested in rock musicwinereal alerailways and politicsNot necessarily in that order
train,1,Donald Trump RussiaBusinessInternet LawPoliticsInvestingBitcoin
train,1,Injustice and corruption make me really madI'm here to fight for #TheResistance #RESIST #Indivisible #Demforce ##HeroesResist (fan account)
train,0,iOS Engineer at @EyeEm
train,1,My mentor is Tony Stark @1IronMan2018 and I am definitely in #TheResistance#Impeach45 #AvengersAssemble 💥#HeroesResist #SpiderMan
train,1,Come in 💥💥https://tco/8yqXjTkXQo
train,0,Interpretations of every @realDonaldTrump tweet since his inauguration
train,0,Illustratordesignermaker of things and visual translatorFoodieunapologetic progressivemarathon runningstate champion monkey skater
train,0,#Resist #Impeach #TheResistance #metoo 🏳️‍ally #sciencebased #evidencebased #diversity #Winteriscoming❄️🌊
train,0,ex lefty from SoCal-neither apply anymorewife/momJinxeee on Gab 🇺#MAGA 👉i♡TGowdy @nurpedtittledisclaimer-potty mouthassholishness may(will)occur
train,0,Blocked by the admitted Nazi 'Dr@SebGorkaUse 'lib***'d and I guarantee to blockTrump is a traitorand if you support himstay away from me
train,0,Husband to JenniferFather of Maddox and ChayseDrummerSingerand sports junkie
train,0,Progressive Democratic candidate for the 14th Illinois Congressional Dist working to be a representativenot a politician#WorkingFamilies #EndCitizensUnited
train,0,Airdrop exclusivityget the new airdrops before anyone else here #followback #followme #follow #follow4follow
train,0,Ecco l'uomo
train,0,Stay-at-home-mom who has strong political convictions and is always right(Hehehe#GeeksResist #Persist #Resist #HeIsMyPresidentAndThatIsTheProblem
train,0,IndependentData AnalystTravellerAlaska YukonI make 99of the memes I post they're researched(occasional satireNC-17#FactsMatter
train,0,Business firstOats second
train,0,Host of YourVoiceAmerica at https://tco/nPSOgFzEwE Mon-Fri 7pm ET #TrustTrump
train,0,Snarky and foul-mouthed member of #TheResistanceQuick of wit and sharp of tonguedon't make me show my claws#Resist #Persist #wily #CatsOfTwitter #FBR
train,1,Disruptive lean startup product systems agile engineerAmbitious curious creatorI love exploringdesigningcreating and building newexciting stuff
